Feature,CompGroup(C),BaseGroup(B),NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,95%Conf.Int.1,95%Conf.Int.2,MeanC,MeanB,NullValue-DifferenceInMeans,Alternative,Method,FDR
X3937294_LOC150197,Relapse,RelapseFree,20,20,1.4781872140677,4.82005182614907,37.6001923600537,2.37634433523165e-05,0.326941331748361,0.800716668251639,4.6342375,4.0704085,0,two.sided,Welch Two Sample t-test,0.424914130582771
X2947877_UBD,Relapse,RelapseFree,20,20,-2.11720431588832,-4.22718661614086,35.9700999641506,0.00015472913244283,-1.60136789851009,-0.562953101489906,4.825956,5.9081165,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3925473_SAMSN1,Relapse,RelapseFree,20,20,-1.21430892868615,-4.25784944981557,31.8908534210253,0.000169748009516866,-0.414168877513081,-0.146102122486919,2.3369975,2.617133,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2452311_TMEM81,Relapse,RelapseFree,20,20,1.53431850599501,3.95052667690705,37.963214666789,0.000327310206984938,0.30110815585751,0.93408784414249,3.8216895,3.2040915,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2638988_PARP15,Relapse,RelapseFree,20,20,-1.24071649859497,-3.8269327567289,37.2201784731657,0.000480558802002618,-0.475893281529322,-0.146453718470678,1.911149,2.2223225,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2492783_THNSL2,Relapse,RelapseFree,20,20,1.3440739347554,3.75189414109491,37.964399645311,0.000585694463138021,0.196419850946968,0.656805149053034,5.574462,5.1478495,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3069082_TFEC,Relapse,RelapseFree,20,20,-1.22556202497335,-3.77037225147447,31.9249192124038,0.000666248097884696,-0.451990175391818,-0.134896824608182,2.3468375,2.640281,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2382898_LBR,Relapse,RelapseFree,20,20,1.28694955066641,3.67495789654738,37.782698534694,0.000734947970200819,0.163428420499457,0.564482579500544,4.630815,4.2668595,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3672528_,Relapse,RelapseFree,20,20,1.44456187473587,3.67880729505017,36.8537604778216,0.000743996137059705,0.238334387950085,0.822929612049914,3.0668715,2.5362395,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2940202_F13A1,Relapse,RelapseFree,20,20,1.69497500644206,3.61723388045573,37.7320431318566,0.000868396471665163,0.335121280374821,1.18740671962518,4.7037925,3.9425285,0,two.sided,Welch Two Sample t-test,0.998325515159334
