"","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"X3937294_LOC150197","Relapse","RelapseFree",20,20,1.478187214,4.820051826,37.60019236,2.38e-05,0.326941332,0.800716668,4.6342375,4.0704085,0,"two.sided","Welch Two Sample t-test",0.424914131
"X2947877_UBD","Relapse","RelapseFree",20,20,-2.117204316,-4.227186616,35.97009996,0.000154729,-1.601367899,-0.562953101,4.825956,5.9081165,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3925473_SAMSN1","Relapse","RelapseFree",20,20,-1.214308929,-4.25784945,31.89085342,0.000169748,-0.414168878,-0.146102122,2.3369975,2.617133,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2452311_TMEM81","Relapse","RelapseFree",20,20,1.534318506,3.950526677,37.96321467,0.00032731,0.301108156,0.934087844,3.8216895,3.2040915,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2638988_PARP15","Relapse","RelapseFree",20,20,-1.240716499,-3.826932757,37.22017847,0.000480559,-0.475893282,-0.146453718,1.911149,2.2223225,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2492783_THNSL2","Relapse","RelapseFree",20,20,1.344073935,3.751894141,37.96439965,0.000585694,0.196419851,0.656805149,5.574462,5.1478495,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3069082_TFEC","Relapse","RelapseFree",20,20,-1.225562025,-3.770372251,31.92491921,0.000666248,-0.451990175,-0.134896825,2.3468375,2.640281,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2382898_LBR","Relapse","RelapseFree",20,20,1.286949551,3.674957897,37.78269853,0.000734948,0.16342842,0.56448258,4.630815,4.2668595,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3672528_","Relapse","RelapseFree",20,20,1.444561875,3.678807295,36.85376048,0.000743996,0.238334388,0.822929612,3.0668715,2.5362395,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2940202_F13A1","Relapse","RelapseFree",20,20,1.694975006,3.61723388,37.73204313,0.000868396,0.33512128,1.18740672,4.7037925,3.9425285,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3617712_GJD2","Relapse","RelapseFree",20,20,1.400834966,3.571845727,37.99585284,0.00098266,0.210675966,0.761898034,4.594696,4.108409,0,"two.sided","Welch Two Sample t-test",0.998325515
